InvoiceDate,Product,Category,UnitsSold,Revenue,PaymentMethod,CustomerSegment
2025-03-25,Daawat Rozana Rice (5kg),Grocery,42,18900,Card,Regular
2025-03-26,Daawat Rozana Rice (5kg),Grocery,43,19350,Card,Premium
2025-03-27,Daawat Rozana Rice (5kg),Grocery,41,18450,Card,New
2025-03-28,Daawat Rozana Rice (5kg),Grocery,17,7650,Card,Regular
2025-03-29,Daawat Rozana Rice (5kg),Grocery,18,8100,Cash,Premium
2025-03-30,Daawat Rozana Rice (5kg),Grocery,21,9450,Cash,Regular
2025-03-31,Daawat Rozana Rice (5kg),Grocery,17,7650,Cash,New
2025-04-01,Daawat Rozana Rice (5kg),Grocery,16,7200,Card,Premium
2025-04-02,Daawat Rozana Rice (5kg),Grocery,17,7650,Card,New
2025-04-03,Daawat Rozana Rice (5kg),Grocery,14,6300,Cash,Premium
2025-04-04,Daawat Rozana Rice (5kg),Grocery,13,5850,Cash,New
2025-04-05,Daawat Rozana Rice (5kg),Grocery,21,9450,UPI,Regular
2025-04-06,Daawat Rozana Rice (5kg),Grocery,21,9450,UPI,Premium
2025-04-07,Daawat Rozana Rice (5kg),Grocery,20,9000,Card,Premium
2025-04-08,Daawat Rozana Rice (5kg),Grocery,14,6300,Cash,Premium
2025-04-09,Daawat Rozana Rice (5kg),Grocery,9,4050,UPI,Regular
2025-04-10,Daawat Rozana Rice (5kg),Grocery,16,7200,Card,New
2025-04-11,Daawat Rozana Rice (5kg),Grocery,13,5850,UPI,Regular
2025-04-12,Daawat Rozana Rice (5kg),Grocery,19,8550,UPI,New
2025-04-13,Daawat Rozana Rice (5kg),Grocery,18,8100,Cash,Premium
2025-04-14,Daawat Rozana Rice (5kg),Grocery,14,6300,UPI,New
2025-04-15,Daawat Rozana Rice (5kg),Grocery,14,6300,Cash,New
2025-04-16,Daawat Rozana Rice (5kg),Grocery,16,7200,Cash,New
2025-04-17,Daawat Rozana Rice (5kg),Grocery,13,5850,Card,Regular
2025-04-18,Daawat Rozana Rice (5kg),Grocery,14,6300,UPI,Premium
2025-04-19,Daawat Rozana Rice (5kg),Grocery,22,9900,Cash,Regular
2025-04-20,Daawat Rozana Rice (5kg),Grocery,18,8100,Card,Regular
2025-04-21,Daawat Rozana Rice (5kg),Grocery,14,6300,UPI,Regular
2025-04-22,Daawat Rozana Rice (5kg),Grocery,13,5850,Card,New
2025-04-23,Daawat Rozana Rice (5kg),Grocery,13,5850,Card,Premium
2025-04-24,Daawat Rozana Rice (5kg),Grocery,17,7650,Card,New
2025-04-25,Daawat Rozana Rice (5kg),Grocery,16,7200,UPI,New
2025-04-26,Daawat Rozana Rice (5kg),Grocery,22,9900,Cash,Premium
2025-04-27,Daawat Rozana Rice (5kg),Grocery,20,9000,UPI,Regular
2025-04-28,Daawat Rozana Rice (5kg),Grocery,11,4950,Cash,New
2025-04-29,Daawat Rozana Rice (5kg),Grocery,16,7200,UPI,Premium
2025-04-30,Daawat Rozana Rice (5kg),Grocery,15,6750,UPI,Premium
2025-05-01,Daawat Rozana Rice (5kg),Grocery,17,7650,Card,Premium
2025-05-02,Daawat Rozana Rice (5kg),Grocery,12,5400,Cash,Premium
2025-05-03,Daawat Rozana Rice (5kg),Grocery,22,9900,Cash,New
2025-05-04,Daawat Rozana Rice (5kg),Grocery,23,10350,Cash,New
2025-05-05,Daawat Rozana Rice (5kg),Grocery,16,7200,UPI,Premium
2025-05-06,Daawat Rozana Rice (5kg),Grocery,14,6300,Cash,Premium
2025-05-07,Daawat Rozana Rice (5kg),Grocery,11,4950,UPI,Premium
2025-05-08,Daawat Rozana Rice (5kg),Grocery,15,6750,UPI,Regular
2025-05-09,Daawat Rozana Rice (5kg),Grocery,16,7200,UPI,New
2025-05-10,Daawat Rozana Rice (5kg),Grocery,22,9900,Card,Regular
2025-05-11,Daawat Rozana Rice (5kg),Grocery,22,9900,Cash,New
2025-05-12,Daawat Rozana Rice (5kg),Grocery,16,7200,Card,Regular
2025-05-13,Daawat Rozana Rice (5kg),Grocery,13,5850,UPI,Regular
2025-05-14,Daawat Rozana Rice (5kg),Grocery,20,9000,UPI,New
2025-05-15,Daawat Rozana Rice (5kg),Grocery,11,4950,Card,Regular
2025-05-16,Daawat Rozana Rice (5kg),Grocery,14,6300,Cash,New
2025-05-17,Daawat Rozana Rice (5kg),Grocery,17,7650,UPI,Regular
2025-05-18,Daawat Rozana Rice (5kg),Grocery,18,8100,UPI,Premium
2025-05-19,Daawat Rozana Rice (5kg),Grocery,18,8100,Cash,Premium
2025-05-20,Daawat Rozana Rice (5kg),Grocery,14,6300,Cash,Premium
2025-05-21,Daawat Rozana Rice (5kg),Grocery,17,7650,Cash,New
2025-05-22,Daawat Rozana Rice (5kg),Grocery,14,6300,Card,New
2025-05-23,Daawat Rozana Rice (5kg),Grocery,17,7650,Card,Premium
2025-05-24,Daawat Rozana Rice (5kg),Grocery,23,10350,Card,Regular
2025-05-25,Daawat Rozana Rice (5kg),Grocery,19,8550,Cash,Regular
2025-05-26,Daawat Rozana Rice (5kg),Grocery,17,7650,UPI,Premium
2025-05-27,Daawat Rozana Rice (5kg),Grocery,13,5850,Cash,Premium
2025-05-28,Daawat Rozana Rice (5kg),Grocery,15,6750,Cash,New
2025-05-29,Daawat Rozana Rice (5kg),Grocery,13,5850,Cash,Regular
2025-05-30,Daawat Rozana Rice (5kg),Grocery,15,6750,Cash,Premium
2025-05-31,Daawat Rozana Rice (5kg),Grocery,22,9900,Card,New
2025-06-01,Daawat Rozana Rice (5kg),Grocery,18,8100,UPI,New
2025-06-02,Daawat Rozana Rice (5kg),Grocery,11,4950,UPI,New
2025-06-03,Daawat Rozana Rice (5kg),Grocery,16,7200,UPI,New
2025-06-04,Daawat Rozana Rice (5kg),Grocery,13,5850,Cash,Premium
2025-06-05,Daawat Rozana Rice (5kg),Grocery,13,5850,Cash,Premium
2025-06-06,Daawat Rozana Rice (5kg),Grocery,17,7650,Cash,New
2025-06-07,Daawat Rozana Rice (5kg),Grocery,19,8550,UPI,New
2025-06-08,Daawat Rozana Rice (5kg),Grocery,24,10800,UPI,Regular
2025-06-09,Daawat Rozana Rice (5kg),Grocery,18,8100,UPI,Regular
2025-06-10,Daawat Rozana Rice (5kg),Grocery,14,6300,Cash,Premium
2025-06-11,Daawat Rozana Rice (5kg),Grocery,20,9000,Card,Premium
2025-06-12,Daawat Rozana Rice (5kg),Grocery,17,7650,Cash,Regular
2025-06-13,Daawat Rozana Rice (5kg),Grocery,16,7200,Card,New
2025-06-14,Daawat Rozana Rice (5kg),Grocery,17,7650,UPI,New
2025-06-15,Daawat Rozana Rice (5kg),Grocery,21,9450,Card,New
2025-06-16,Daawat Rozana Rice (5kg),Grocery,15,6750,Cash,New
2025-06-17,Daawat Rozana Rice (5kg),Grocery,18,8100,Cash,Premium
2025-06-18,Daawat Rozana Rice (5kg),Grocery,14,6300,UPI,Premium
2025-06-19,Daawat Rozana Rice (5kg),Grocery,14,6300,Card,New
2025-06-20,Daawat Rozana Rice (5kg),Grocery,14,6300,UPI,New
2025-06-21,Daawat Rozana Rice (5kg),Grocery,20,9000,UPI,Regular
2025-06-22,Daawat Rozana Rice (5kg),Grocery,19,8550,Card,Premium
2025-06-23,Daawat Rozana Rice (5kg),Grocery,14,6300,Card,New
2025-06-24,Daawat Rozana Rice (5kg),Grocery,13,5850,Cash,Premium
2025-06-25,Daawat Rozana Rice (5kg),Grocery,13,5850,Card,Regular
2025-06-26,Daawat Rozana Rice (5kg),Grocery,14,6300,UPI,Regular
2025-06-27,Daawat Rozana Rice (5kg),Grocery,16,7200,UPI,Premium
2025-06-28,Daawat Rozana Rice (5kg),Grocery,19,8550,Card,Premium
2025-06-29,Daawat Rozana Rice (5kg),Grocery,19,8550,UPI,Regular
2025-06-30,Daawat Rozana Rice (5kg),Grocery,17,7650,UPI,Premium
2025-07-01,Daawat Rozana Rice (5kg),Grocery,14,6300,UPI,Regular
2025-07-02,Daawat Rozana Rice (5kg),Grocery,16,7200,Card,Regular
