date,store_location,category,product_name,sales,price,inventory_status,customer_rating
2025-03-25,Mumbai - Andheri,Dairy,Amul Milk (1L),60,479.67,High Demand,4.0
2025-03-26,Mumbai - Andheri,Dairy,Amul Milk (1L),54,325.77,High Demand,3.6
2025-03-27,Mumbai - Andheri,Dairy,Amul Milk (1L),58,225.99,High Demand,4.9
2025-03-28,Mumbai - Andheri,Dairy,Amul Milk (1L),45,420.57,In Stock,4.6
2025-03-29,Mumbai - Andheri,Dairy,Amul Milk (1L),66,358.97,Restocked,3.9
2025-03-30,Mumbai - Andheri,Dairy,Amul Milk (1L),77,470.32,Restocked,3.6
2025-03-31,Mumbai - Andheri,Dairy,Amul Milk (1L),58,337.19,High Demand,3.6
2025-04-01,Mumbai - Andheri,Dairy,Amul Milk (1L),72,288.9,In Stock,3.9
2025-04-02,Mumbai - Andheri,Dairy,Amul Milk (1L),65,384.55,In Stock,4.9
2025-04-03,Mumbai - Andheri,Dairy,Amul Milk (1L),69,79.13,Restocked,4.5
2025-04-04,Mumbai - Andheri,Dairy,Amul Milk (1L),73,194.79,In Stock,3.5
2025-04-05,Mumbai - Andheri,Dairy,Amul Milk (1L),91,470.15,High Demand,3.7
2025-04-06,Mumbai - Andheri,Dairy,Amul Milk (1L),62,224.87,In Stock,4.5
2025-04-07,Mumbai - Andheri,Dairy,Amul Milk (1L),45,411.61,Restocked,3.7
2025-04-08,Mumbai - Andheri,Dairy,Amul Milk (1L),54,341.82,In Stock,5.0
2025-04-09,Mumbai - Andheri,Dairy,Amul Milk (1L),53,364.92,In Stock,4.5
2025-04-10,Mumbai - Andheri,Dairy,Amul Milk (1L),62,462.83,In Stock,3.8
2025-04-11,Mumbai - Andheri,Dairy,Amul Milk (1L),70,77.74,High Demand,3.9
2025-04-12,Mumbai - Andheri,Dairy,Amul Milk (1L),112,278.28,High Demand,4.9
2025-04-13,Mumbai - Andheri,Dairy,Amul Milk (1L),117,205.73,In Stock,4.6
2025-04-14,Mumbai - Andheri,Dairy,Amul Milk (1L),76,246.16,Restocked,4.9
2025-04-15,Mumbai - Andheri,Dairy,Amul Milk (1L),81,235.58,In Stock,4.5
2025-04-16,Mumbai - Andheri,Dairy,Amul Milk (1L),82,45.84,High Demand,3.9
2025-04-17,Mumbai - Andheri,Dairy,Amul Milk (1L),85,129.78,Restocked,3.8
2025-04-18,Mumbai - Andheri,Dairy,Amul Milk (1L),40,388.46,High Demand,4.6
2025-04-19,Mumbai - Andheri,Dairy,Amul Milk (1L),83,430.5,In Stock,4.9
2025-04-20,Mumbai - Andheri,Dairy,Amul Milk (1L),73,128.75,In Stock,4.4
2025-04-21,Mumbai - Andheri,Dairy,Amul Milk (1L),55,182.5,Restocked,5.0
2025-04-22,Mumbai - Andheri,Dairy,Amul Milk (1L),63,124.64,High Demand,4.4
2025-04-23,Mumbai - Andheri,Dairy,Amul Milk (1L),55,265.42,High Demand,4.5
2025-04-24,Mumbai - Andheri,Dairy,Amul Milk (1L),58,66.21,Restocked,4.3
2025-04-25,Mumbai - Andheri,Dairy,Amul Milk (1L),60,226.72,In Stock,3.7
2025-04-26,Mumbai - Andheri,Dairy,Amul Milk (1L),81,159.11,High Demand,3.7
2025-04-27,Mumbai - Andheri,Dairy,Amul Milk (1L),83,492.06,Restocked,3.6
2025-04-28,Mumbai - Andheri,Dairy,Amul Milk (1L),54,380.91,Restocked,4.1
2025-04-29,Mumbai - Andheri,Dairy,Amul Milk (1L),60,447.16,Restocked,4.1
2025-04-30,Mumbai - Andheri,Dairy,Amul Milk (1L),60,270.92,Restocked,4.2
2025-05-01,Mumbai - Andheri,Dairy,Amul Milk (1L),66,305.97,High Demand,4.3
2025-05-02,Mumbai - Andheri,Dairy,Amul Milk (1L),77,73.5,Restocked,3.9
2025-05-03,Mumbai - Andheri,Dairy,Amul Milk (1L),94,439.31,In Stock,4.0
2025-05-04,Mumbai - Andheri,Dairy,Amul Milk (1L),107,376.03,Restocked,3.8
2025-05-05,Mumbai - Andheri,Dairy,Amul Milk (1L),73,488.26,High Demand,4.8
2025-05-06,Mumbai - Andheri,Dairy,Amul Milk (1L),55,315.25,High Demand,4.2
2025-05-07,Mumbai - Andheri,Dairy,Amul Milk (1L),54,199.83,In Stock,4.5
2025-05-08,Mumbai - Andheri,Dairy,Amul Milk (1L),54,496.83,In Stock,3.5
2025-05-09,Mumbai - Andheri,Dairy,Amul Milk (1L),64,488.71,Restocked,4.1
2025-05-10,Mumbai - Andheri,Dairy,Amul Milk (1L),78,271.72,High Demand,3.6
2025-05-11,Mumbai - Andheri,Dairy,Amul Milk (1L),74,275.87,High Demand,4.3
2025-05-12,Mumbai - Andheri,Dairy,Amul Milk (1L),58,445.28,In Stock,4.4
2025-05-13,Mumbai - Andheri,Dairy,Amul Milk (1L),57,440.44,In Stock,4.8
2025-05-14,Mumbai - Andheri,Dairy,Amul Milk (1L),52,348.27,High Demand,3.6
2025-05-15,Mumbai - Andheri,Dairy,Amul Milk (1L),63,441.99,Restocked,5.0
2025-05-16,Mumbai - Andheri,Dairy,Amul Milk (1L),63,120.48,Restocked,3.8
2025-05-17,Mumbai - Andheri,Dairy,Amul Milk (1L),71,486.18,High Demand,3.6
2025-05-18,Mumbai - Andheri,Dairy,Amul Milk (1L),77,443.38,High Demand,3.7
2025-05-19,Mumbai - Andheri,Dairy,Amul Milk (1L),54,23.41,Restocked,3.8
2025-05-20,Mumbai - Andheri,Dairy,Amul Milk (1L),63,149.06,In Stock,3.7
2025-05-21,Mumbai - Andheri,Dairy,Amul Milk (1L),47,224.96,High Demand,4.8
2025-05-22,Mumbai - Andheri,Dairy,Amul Milk (1L),64,281.76,In Stock,4.0
2025-05-23,Mumbai - Andheri,Dairy,Amul Milk (1L),52,201.65,High Demand,4.0
2025-05-24,Mumbai - Andheri,Dairy,Amul Milk (1L),82,356.77,Restocked,4.3
2025-05-25,Mumbai - Andheri,Dairy,Amul Milk (1L),80,180.57,In Stock,4.5
2025-05-26,Mumbai - Andheri,Dairy,Amul Milk (1L),48,318.37,In Stock,5.0
2025-05-27,Mumbai - Andheri,Dairy,Amul Milk (1L),63,114.12,Restocked,4.7
2025-05-28,Mumbai - Andheri,Dairy,Amul Milk (1L),58,395.7,Restocked,4.2
2025-05-29,Mumbai - Andheri,Dairy,Amul Milk (1L),61,79.95,In Stock,3.8
2025-05-30,Mumbai - Andheri,Dairy,Amul Milk (1L),67,251.43,In Stock,3.7
2025-05-31,Mumbai - Andheri,Dairy,Amul Milk (1L),76,154.26,Restocked,4.1
2025-06-01,Mumbai - Andheri,Dairy,Amul Milk (1L),100,493.05,Restocked,4.6
2025-06-02,Mumbai - Andheri,Dairy,Amul Milk (1L),61,228.65,Restocked,3.9
2025-06-03,Mumbai - Andheri,Dairy,Amul Milk (1L),67,241.96,In Stock,3.6
2025-06-04,Mumbai - Andheri,Dairy,Amul Milk (1L),64,164.36,In Stock,3.9
2025-06-05,Mumbai - Andheri,Dairy,Amul Milk (1L),71,387.81,High Demand,3.8
2025-06-06,Mumbai - Andheri,Dairy,Amul Milk (1L),51,311.62,Restocked,3.6
2025-06-07,Mumbai - Andheri,Dairy,Amul Milk (1L),83,433.29,In Stock,3.6
2025-06-08,Mumbai - Andheri,Dairy,Amul Milk (1L),72,115.17,In Stock,3.5
2025-06-09,Mumbai - Andheri,Dairy,Amul Milk (1L),60,347.88,Restocked,3.7
2025-06-10,Mumbai - Andheri,Dairy,Amul Milk (1L),51,275.86,In Stock,4.0
2025-06-11,Mumbai - Andheri,Dairy,Amul Milk (1L),46,341.92,In Stock,3.9
2025-06-12,Mumbai - Andheri,Dairy,Amul Milk (1L),53,432.91,High Demand,3.7
2025-06-13,Mumbai - Andheri,Dairy,Amul Milk (1L),53,298.84,High Demand,4.3
2025-06-14,Mumbai - Andheri,Dairy,Amul Milk (1L),76,417.8,Restocked,4.1
2025-06-15,Mumbai - Andheri,Dairy,Amul Milk (1L),85,448.69,High Demand,4.5
2025-06-16,Mumbai - Andheri,Dairy,Amul Milk (1L),56,61.76,High Demand,3.7
2025-06-17,Mumbai - Andheri,Dairy,Amul Milk (1L),63,297.63,Restocked,3.5
2025-06-18,Mumbai - Andheri,Dairy,Amul Milk (1L),63,46.68,High Demand,4.4
2025-06-19,Mumbai - Andheri,Dairy,Amul Milk (1L),57,135.41,High Demand,4.5
2025-06-20,Mumbai - Andheri,Dairy,Amul Milk (1L),61,293.03,In Stock,4.6
2025-06-21,Mumbai - Andheri,Dairy,Amul Milk (1L),81,211.25,Restocked,4.8
2025-06-22,Mumbai - Andheri,Dairy,Amul Milk (1L),74,147.25,Restocked,4.2
2025-06-23,Mumbai - Andheri,Dairy,Amul Milk (1L),50,65.69,High Demand,3.9
2025-06-24,Mumbai - Andheri,Dairy,Amul Milk (1L),58,291.28,Restocked,3.9
2025-06-25,Mumbai - Andheri,Dairy,Amul Milk (1L),60,128.41,In Stock,4.2
2025-06-26,Mumbai - Andheri,Dairy,Amul Milk (1L),52,331.95,Restocked,4.0
2025-06-27,Mumbai - Andheri,Dairy,Amul Milk (1L),55,469.89,In Stock,3.6
2025-06-28,Mumbai - Andheri,Dairy,Amul Milk (1L),79,407.44,Restocked,4.2
