Date,Product_Name,Sales_Units,Price_per_Unit,Store_Location
2024-03-25,Basmati Rice (5kg),29,71.77860381628746,Mumbai Central
2024-03-26,Basmati Rice (5kg),13,338.03373456249284,Mumbai Central
2024-03-27,Basmati Rice (5kg),29,84.9322237083112,Mumbai Central
2024-03-28,Basmati Rice (5kg),16,248.23739654507946,Mumbai Central
2024-03-29,Basmati Rice (5kg),30,96.18142425044746,Mumbai Central
2024-03-30,Basmati Rice (5kg),25,59.82981651258659,Mumbai Central
2024-03-31,Basmati Rice (5kg),33,65.09823543047226,Mumbai Central
2024-04-01,Basmati Rice (5kg),16,304.57816904012884,Mumbai Central
2024-04-02,Basmati Rice (5kg),26,459.2846600265552,Mumbai Central
2024-04-03,Basmati Rice (5kg),23,260.6328868376994,Mumbai Central
2024-04-04,Basmati Rice (5kg),9,333.03485420023856,Mumbai Central
2024-04-05,Basmati Rice (5kg),26,166.393258470425,Mumbai Central
2024-04-06,Basmati Rice (5kg),24,89.49659651043325,Mumbai Central
2024-04-07,Basmati Rice (5kg),22,60.58788948514755,Mumbai Central
2024-04-08,Basmati Rice (5kg),24,170.18757779521474,Mumbai Central
2024-04-09,Basmati Rice (5kg),15,266.20341686020356,Mumbai Central
2024-04-10,Basmati Rice (5kg),17,243.56813421507297,Mumbai Central
2024-04-11,Basmati Rice (5kg),23,436.13682415300576,Mumbai Central
2024-04-12,Basmati Rice (5kg),24,145.93565059714666,Mumbai Central
2024-04-13,Basmati Rice (5kg),26,237.9958759718426,Mumbai Central
2024-04-14,Basmati Rice (5kg),21,458.26041465845077,Mumbai Central
2024-04-15,Basmati Rice (5kg),24,268.48107231981805,Mumbai Central
2024-04-16,Basmati Rice (5kg),14,291.59986534755467,Mumbai Central
2024-04-17,Basmati Rice (5kg),22,121.75533724575229,Mumbai Central
2024-04-18,Basmati Rice (5kg),25,183.13344335931114,Mumbai Central
2024-04-19,Basmati Rice (5kg),20,330.921051517926,Mumbai Central
2024-04-20,Basmati Rice (5kg),18,456.1639146324938,Mumbai Central
2024-04-21,Basmati Rice (5kg),27,346.51666102482443,Mumbai Central
2024-04-22,Basmati Rice (5kg),16,90.36942292065447,Mumbai Central
2024-04-23,Basmati Rice (5kg),25,419.44546610899044,Mumbai Central
2024-04-24,Basmati Rice (5kg),19,336.8721869214178,Mumbai Central
2024-04-25,Basmati Rice (5kg),14,455.9277010870084,Mumbai Central
2024-04-26,Basmati Rice (5kg),18,343.57972336305295,Mumbai Central
2024-04-27,Basmati Rice (5kg),21,366.76690316909645,Mumbai Central
2024-04-28,Basmati Rice (5kg),16,361.4552220735267,Mumbai Central
2024-04-29,Basmati Rice (5kg),24,375.5584563059966,Mumbai Central
2024-04-30,Basmati Rice (5kg),18,387.46486909075276,Mumbai Central
2024-05-01,Basmati Rice (5kg),23,491.64045424842624,Mumbai Central
2024-05-02,Basmati Rice (5kg),15,399.9368426619305,Mumbai Central
2024-05-03,Basmati Rice (5kg),26,138.25724463067303,Mumbai Central
2024-05-04,Basmati Rice (5kg),37,243.01865794423117,Mumbai Central
2024-05-05,Basmati Rice (5kg),24,267.3670061293583,Mumbai Central
2024-05-06,Basmati Rice (5kg),16,137.43294783224323,Mumbai Central
2024-05-07,Basmati Rice (5kg),13,478.75214285860096,Mumbai Central
2024-05-08,Basmati Rice (5kg),9,432.21113073818015,Mumbai Central
2024-05-09,Basmati Rice (5kg),22,433.0794859457078,Mumbai Central
